type,store,name,price,image_url
Granulated sugar,Lidl,Pepsi® zero sugar,$4.28*,https://production-endpoint.azureedge.net/images/6SR30C1H69FJAC1GF0QJ0C0/edcd4197-5e13-4db2-8ad5-867029b787e0/760012_500x500_500x500.tif.jpg
Granulated sugar,Lidl,Pepsi® zero sugar,$2.48*,https://production-endpoint.azureedge.net/images/6SR30C1I6DFJAC1GF0QJ0C0/85dbb8e7-bd4c-4536-b8f5-69277916e5e1/760023_500x500_500x500.tif.jpg
Granulated sugar,Lidl,dark brown sugar,$2.49*,https://production-endpoint.azureedge.net/images/6GOJ4CHM6LFJAC1GF0QJ0C0/d46bace1-3d25-496e-bcd3-02835ab13e7b/412265_500x500_500x500.tif.jpg
Granulated sugar,Lidl,light brown sugar,$2.22*,https://production-endpoint.azureedge.net/images/6KSJ0CHI6PFJAC1GF0QJ0C0/469c33ae-434d-4e52-b22c-a44942b765cc/590226_500x500_500x500.tif.jpg
Granulated sugar,Lidl,organic pure cane sugar,$3.14*,https://production-endpoint.azureedge.net/images/6KP38CHN6PFJAC1GF0QJ0C0/de22e876-add2-498e-b2c5-da3a4cd6c8b1/524276_500x500_500x500.tif.jpg
Granulated sugar,Lidl,Alpenfest sugar coated almonds,$2.49*,https://production-endpoint.azureedge.net/images/6SO32DHO6PFJAC1GF0QJ0C0/50dfd062-e71e-4031-9007-a5a35f38b0fa/701686_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,dark brown sugar,$2.49*,https://production-endpoint.azureedge.net/images/6GOJ4CHM6LFJAC1GF0QJ0C0/d46bace1-3d25-496e-bcd3-02835ab13e7b/412265_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,light brown sugar,$2.22*,https://production-endpoint.azureedge.net/images/6KSJ0CHI6PFJAC1GF0QJ0C0/469c33ae-434d-4e52-b22c-a44942b765cc/590226_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,organic light brown sugar,$3.09*,https://production-endpoint.azureedge.net/images/6GRJ8DPI6DFJAC1GF0QJ0C0/74a22017-6985-4367-914a-6f6b370406ca/474723_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,"Quaker® instant oatmeal, maple brown sugar",$2.87*,https://production-endpoint.azureedge.net/images/6KSJ0E1J6DFJAC1GF0QJ0C0/692d2695-539b-46fd-99cb-edf251fe2833/590833_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,"eyeshadow, brown sugar",$0.49*,https://production-endpoint.azureedge.net/images/6GSJAE1GBSQJ0C3O6KO30/8cf93567-c78b-4247-89b2-f72951e41e11/49580_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,brown sugar toaster pastries,$1.97*,https://production-endpoint.azureedge.net/images/6SPJ6C9I6LFJAC1GF0QJ0C0/e4e10edf-c642-419a-94ca-8bc85d8e3808/733125_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,Pop-Tarts® frosted brown sugar cinnamon,$3.85*,https://production-endpoint.azureedge.net/images/6GO3CD1N6PFJAC1GF0QJ0C0/c48d3bbe-3920-46f3-94e0-55bb31238f49/406476_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,Hatfield® sweet brown sugar ham,$6.79*,https://production-endpoint.azureedge.net/images/6SPJ0D9G75FJAC1GF0QJ0C0/abf9043b-3b90-4179-8507-169afb50096e/730509_500x500_500x500.tif.jpg
Light or dark brown sugar,Lidl,"BBQ sauce, hickory & brown sugar",$1.48*,https://production-endpoint.azureedge.net/images/6COJ6D9K61FJAC1GF0QJ0C0/6e4640bf-8c99-47b4-b81f-c7e572ea3664/313540_500x500_500x500.tif.jpg
Pure vanilla extract,Lidl,pure vanilla extract,$4.99*,https://production-endpoint.azureedge.net/images/6GRJ6DHPBSQJ0C3O6KO30/240d84e8-d3f8-4444-a96c-54fbc0c3e742/47369_500x500_500x500.tif.jpg
